NPC,描述,生成需求,自卫武器,死亡掉落
向导,"提供提示和关于如何得到其他 NPC 的大致指引；提供合成展示格的物品的所有制作配方。","创建新世界时总是已经存在。Celebrationmk10 世界的起始 NPC 之一，初始名为“Andrew”。","木弓（用木箭）\n困难模式：烈焰箭","绿帽\n100%；仅当名叫 Andrew 时"
商人,出售基本的工具和供给。,"所有玩家物品栏中加起来有超过 50 铜。新建 Not the bees 世界时会取代向导作为起始 NPC。",投刀,无
护士,治疗玩家及取消减益来换取钱币。,"有玩家拥有超过 100 的生命且商人入住。",注射器（远程攻击，对敌怪造成中毒；也能以 NPC 为目标并治疗他们）,无
爆破专家,出售爆炸物。,"玩家的物品栏中有爆炸物且商人入住。新建 For the worthy 世界时会取代向导作为起始 NPC。",手榴弹,无
染料商,出售染缸制作染料。用稀有染料来交换奇异植物。,"玩家在物品栏中有染料物品或任何用于制作染料的物品，此外还有一些其他条件。",异域弯刀,"异域弯刀\n1/8（12.5%）"
渔夫,给出钓鱼任务并在玩家完成后给出奖励。,"在海洋生物群系中找到他并与其交谈（在 Don’t dig up 和 Get fixed boi 世界中则是在地下森林中）。",寒霜飞鱼,无
动物学家,出售时装物品、坐骑、宠物、和小动物主题物品。,"怪物图鉴至少已经填写了 10%（54 个条目）。",爪（近战攻击）,无
树妖,出售自然/腐化/猩红物品，并能报告世界中腐化/猩红和神圣的百分比。,"克苏鲁之眼、世界吞噬者/克苏鲁之脑、或骷髅王已被击败。",树妖祝福（范围效果，对玩家提供树妖祝福，对敌怪提供树妖祝祸）,无
油漆工,出售油漆、绘画作品、和绘画作品。,"世界中有另外 8 个城镇 NPC。",彩弹枪,"彩弹枪\n1/10（10%）\nJim 的帽子\n100%；仅当名叫 Jim 时"
高尔夫球手,出售高尔夫球杆、高尔夫球和其他高尔夫物品。,"在地下沙漠中找到他并与其交谈。",高尔夫球（远程攻击）,无
军火商,出售枪、子弹、和其他弹药。,"有玩家的物品栏中有子弹或发射子弹的枪。",燧发枪 / 迷你鲨,无
酒馆老板,出售能帮助与撒旦军队战斗的召唤物品，其中绝大部分只能用护卫者勋章购买。,"击败了世界吞噬者或克苏鲁之脑后找到他并与其交谈。",麦芽酒（远程范围攻击）,"麦芽酒投掷器\n1/8（12.5%）"
发型师,能改变玩家的发型并出售染发剂。,"在蜘蛛巢中找到她并与其交谈。",时尚剪刀,"时尚剪刀\n1/8（12.5%）"
哥布林工匠,出售一些道具并能重铸物品。,"击败哥布林入侵后在洞穴层找到他并与之交谈。",尖球,无
巫医,出售吹箭筒、灌注站、召唤装备、喷泉和叶之翼。,"蜂王已被击败。",吹箭筒（用毒镖，造成中毒）,无
服装商,出售一些时装物品，包括便装套装。,"骷髅王已被击败。",暗影烛台（远程攻击，造成暗影烛焰）,红帽\n100%
机械师,出售扳手、电线、和其他机械相关物品。,"在地牢中找到她并与其交谈。",机械师扳手（远程范围攻击）,"战斗扳手\n1/8（12.5%）"
派对女孩,出售创造多彩视觉效果的小玩具物品。,"世界中已经有 14 个其他城镇 NPC 后有 1/40 几率生成。新建 Drunk world 时会取代向导作为起始 NPC。Celebrationmk10 和 Get fixed boi 世界的起始 NPC 之一，初始名为“Amanda”。",快乐手榴弹,"快乐手榴弹\n1/4（25%）；一次会掉落 30–60 个"
